WTG,TimeStamp10Min,RealPower,WindSpeed
WTG-1,12/2/2023 9:50,418.98,11.66
WTG-1,12/2/2023 10:00,1423.25,10.26
WTG-1,12/2/2023 10:10,1448.42,10.58
WTG-1,12/2/2023 10:20,1439.49,10.35
WTG-1,12/2/2023 10:30,1501.41,10.47
WTG-1,12/2/2023 10:40,1578.09,12.06
WTG-1,12/2/2023 10:50,1616.51,11.89
WTG-1,12/2/2023 11:00,1623.4,11.67
WTG-1,12/2/2023 11:10,1618.78,11.61
WTG-1,12/2/2023 11:20,1489.47,10.18
WTG-1,12/2/2023 11:30,1592.83,10.66
WTG-1,12/2/2023 11:40,1429.3,10
WTG-1,12/2/2023 11:50,1562.68,10.75
WTG-1,12/2/2023 12:00,1297.04,9.14
WTG-1,12/2/2023 12:10,1163.56,8.73
WTG-1,12/2/2023 12:20,920.44,8.29
WTG-1,12/2/2023 12:30,-2.52,10.63
WTG-1,12/2/2023 12:40,-2.24,10.83
WTG-1,12/2/2023 12:50,-2.2,9.67
WTG-1,12/2/2023 13:00,-3.82,9.2
WTG-1,12/2/2023 13:10,-2.23,10.67
WTG-1,12/2/2023 13:20,-2.21,9.78
WTG-1,12/2/2023 13:30,-2.98,10.4
WTG-1,12/2/2023 13:40,-2.42,10.45
